name;desc eng;desc germ;to-hit mod;dmg mod;range mod;notes
"incendiary";"Incendiary bolts or arrows";"Brandpfeile und -bolzen";0;*0.5;*1;"1d6: 1-4 target catches fire. next round burning on small surface"
"hunting";"Hunting bolts or arrows";"Jagdpfeile und -bolzen";0;0;*1;""
"chain";"chain breaking bolts or arrows";"Kettenbrecher-Pfeile und -bolzen";0;0;*1;"chainmail only has an armor class of 1"
"war";"war arrow and bolts";"kriegspfeile und -bolzen";0;+1;*0.9;""
"armor";"armor piercing arrows and bolts";"panzerbrecher-pfeile und -bolzen";0;0;*1;"plate armor and chain mail only has an armor class of 1"
"horse";"horse arrows and bolts";"pferde-pfeile und -bolzen";0;+6;*1;"large or larger creatures suffer +6 dmg; the armor class is doubled"
"tendon";"tendon cutter arrows and bolts";"sehnenschneider-pfeile und bolzen";0;+1d6;*0.5;"the armor class is doubled. any rope under tension is immediatly cut"
"singing";"singing arrows and bolts";"singende pfeile und bolzen";0;-2;*1;"to hear this projectile a sense check (noticing) +5 is required. per 100 paces from the projectile this check is -1 more difficult"
"blunt";"blunt arrows and bolts";"stumpfe pfeile und bolzen";0;1d3;*1;"1d6: 1-3 +1 stupor to target"
"barbed";"barbed arrows and bolts";"widerhaken-pfeile und bolzen";0;0;*1;"if this arrow does dmg; the projectile is stuck in the target. every 5 minuts it does 1 dmg. to remove it; one may yank the arrow out; which does 1d6+2 dmg; or a careful attempt at cure wounds; which; when unsuccesful; results in 1d3 dmg"
